CustomerID,TransactionAfterStartDate(Days),RecentTransaction,TotalTransactions,CustomerLife(Days),DaysSinceLastTransaction,AvgDaysBetweenTransactions,AvgTransactionsPerMonth,AvgTransactionValue,MaxTransactionValue,MinTransactionValue,Revenue,ActiveMonths,InactiveMonths,NoOfWeekendTransactions,NoOfWeekdayTransactions,MaxGapBetweentransactions,Churner
12481,8,2011-11-17 08:29:00,10,342,22,38.0,1.4285714285714286,24.056826923076922,122.39999999999999,4.5600000000000005,5003.82,7,6,0.0,10.0,113,False
12490,44,2011-12-04 16:07:00,10,324,4,36.0,1.25,20.680553191489363,171.84,4.5600000000000005,4859.93,8,5,2.0,8.0,115,False
12494,8,2011-11-24 09:34:00,7,349,15,58.166666666666664,1.1666666666666667,15.269014084507043,39.8,4.68,1084.1000000000001,6,7,1.0,6.0,121,False
12500,40,2011-11-16 16:20:00,11,310,22,31.0,1.5714285714285714,78.07346153846154,624.0,3.0,4059.82,7,6,0.0,11.0,98,False
12523,42,2011-11-20 12:55:00,11,312,18,31.2,1.2222222222222223,16.664411764705882,39.6,9.95,1699.77,9,4,2.0,9.0,117,False
12540,12,2011-11-20 11:31:00,17,342,19,21.375,1.5454545454545454,25.11982646420824,175.2,5.04,11580.24,11,2,1.0,16.0,51,False
12553,44,2011-12-01 16:38:00,10,321,7,35.666666666666664,1.1111111111111112,18.012527472527474,85.92,5.04,3278.28,9,4,1.0,9.0,55,False
12557,2,2011-11-23 16:59:00,5,355,15,88.75,1.0,363.36242424242425,1350.0,27.2,11990.960000000001,5,8,0.0,5.0,142,False
12567,4,2011-11-17 11:02:00,10,346,22,38.44444444444444,1.4285714285714286,19.655890410958907,171.8,2.88,8609.28,7,6,3.0,7.0,107,False
12569,121,2011-12-07 16:24:00,32,250,1,8.064516129032258,3.5555555555555554,20.080828025477707,79.2,4.68,3152.69,9,4,2.0,30.0,35,False
12577,14,2011-11-04 13:24:00,3,323,34,161.5,1.5,4.2941379310344825,31.200000000000003,0.29,622.65,2,11,0.0,3.0,323,False
12583,0,2011-12-07 08:07:00,15,370,2,26.428571428571427,1.25,28.9025,132.8,6.8,6705.38,12,1,1.0,14.0,72,False
12600,2,2011-11-11 10:29:00,10,342,28,38.0,1.1111111111111112,42.797037037037036,237.60000000000002,6.72,2311.04,9,4,2.0,8.0,58,False
12621,8,2011-12-08 11:25:00,20,364,1,19.157894736842106,1.6666666666666667,27.64291759465479,350.4,4.5600000000000005,12411.67,12,1,0.0,20.0,58,False
12647,4,2011-11-17 12:56:00,12,346,21,31.454545454545453,1.5,28.679727272727273,139.2,6.64,3154.77,8,5,3.0,9.0,90,False
12662,0,2011-12-09 11:59:00,11,372,0,37.2,1.1,16.10809090909091,41.6,6.8,3543.78,10,3,1.0,10.0,64,False
12668,18,2011-11-28 10:56:00,4,343,11,114.33333333333333,1.0,20.236624203821655,102.0,4.5600000000000005,3177.15,4,9,1.0,3.0,247,False
12678,20,2011-10-28 13:04:00,10,311,41,34.55555555555556,1.25,104.97745222929936,1632.48,1.95,16481.46,8,5,1.0,9.0,68,False
12681,6,2011-11-25 11:33:00,22,353,14,16.80952380952381,2.2,20.073928571428574,214.8,4.5600000000000005,12365.54,10,3,3.0,19.0,74,False
12682,2,2011-12-06 10:00:00,31,367,3,12.233333333333333,2.3846153846153846,22.262262626262626,386.64,5.04,11019.82,13,0,1.0,30.0,40,False
12683,8,2011-12-05 16:28:00,14,361,3,27.76923076923077,1.5555555555555556,22.99870090634441,175.2,4.68,7612.57,9,4,0.0,14.0,79,False
12691,16,2011-11-11 16:49:00,5,329,27,82.25,1.0,34.36296296296296,158.39999999999998,7.800000000000001,927.8,5,8,1.0,4.0,173,False
12705,16,2011-11-24 13:17:00,8,341,14,48.714285714285715,1.1428571428571428,19.458201219512194,102.0,2.88,6382.29,7,6,1.0,7.0,111,False
12708,5,2011-11-10 09:52:00,10,338,29,37.55555555555556,1.1111111111111112,16.61843537414966,53.1,6.8,2442.91,9,4,0.0,10.0,77,False
12709,7,2011-11-24 15:38:00,15,351,14,25.071428571428573,1.5,46.53722772277228,350.4,0.83,9400.52,10,3,1.0,14.0,42,False
12712,2,2011-11-11 08:19:00,13,342,28,28.5,1.3,32.73441666666667,142.8,8.25,3928.13,10,3,0.0,13.0,57,False
12720,4,2011-12-07 08:03:00,25,366,2,15.25,1.9230769230769231,14.958274853801171,56.160000000000004,4.5600000000000005,5115.7300000000005,13,0,2.0,23.0,44,False
12721,19,2011-11-08 12:13:00,6,323,31,64.6,1.0,15.394387096774194,46.8,2.88,2386.13,6,7,0.0,6.0,103,False
12726,16,2011-11-11 13:35:00,7,329,27,54.833333333333336,1.0,20.607692307692307,53.1,6.72,2411.1,7,6,1.0,6.0,98,False
12731,9,2011-11-16 11:59:00,12,341,23,31.0,1.2,68.68831501831502,475.20000000000005,5.04,18751.91,10,3,0.0,12.0,59,False
12747,4,2011-12-07 14:34:00,11,366,1,36.6,1.2222222222222223,40.737961165048546,243.0,10.2,4196.01,9,4,1.0,10.0,65,False
12748,0,2011-12-09 12:20:00,206,372,0,1.8146341463414635,15.846153846153847,7.198267000227427,528.0,0.06,31650.78,13,0,23.0,183.0,30,False
12753,11,2011-11-17 10:52:00,6,339,22,67.8,1.0,108.77862944162436,429.59999999999997,15.299999999999999,21429.39,6,7,1.0,5.0,113,False
12766,7,2011-12-06 08:46:00,7,362,3,60.333333333333336,1.0,21.103366013071895,81.6,3.4799999999999995,6457.63,7,6,1.0,6.0,91,False
12779,2,2011-11-02 11:43:00,8,333,37,47.57142857142857,1.0,26.72053691275168,102.0,8.4,3981.36,8,5,0.0,8.0,152,False
12782,16,2011-12-05 09:16:00,5,352,4,88.0,1.0,19.784897959183674,59.400000000000006,4.68,1938.92,5,8,0.0,5.0,144,False
12808,5,2011-11-03 10:05:00,3,331,36,165.5,1.0,16.875925925925927,20.8,9.95,455.65000000000003,3,10,0.0,3.0,184,False
12826,8,2011-12-07 10:25:00,7,362,2,60.333333333333336,1.1666666666666667,16.205714285714286,35.400000000000006,4.5600000000000005,1474.72,6,7,0.0,7.0,137,False
12838,0,2011-11-06 12:20:00,2,340,33,340.0,1.0,5.599583333333333,35.400000000000006,0.42,671.95,2,11,1.0,1.0,340,False
12839,6,2011-12-07 12:33:00,14,364,2,28.0,1.4,17.80707006369427,70.80000000000001,2.98,5591.42,10,3,0.0,14.0,89,False
12841,2,2011-12-05 11:13:00,25,367,4,15.291666666666666,1.9230769230769231,9.641497584541062,107.28,0.42,3991.58,13,0,7.0,18.0,41,False
12867,13,2011-11-13 15:30:00,7,333,25,55.5,1.0,7.50812734082397,74.7,0.39,4009.34,7,6,2.0,5.0,70,False
12877,15,2011-12-06 10:30:00,12,354,3,32.18181818181818,1.0909090909090908,9.972532467532467,79.2,0.58,1535.77,11,2,2.0,10.0,54,False
12901,103,2011-12-01 10:07:00,28,261,8,9.666666666666666,2.8,152.19431034482758,1519.8,0.85,17654.54,10,3,2.0,26.0,27,False
12913,5,2011-12-05 12:11:00,5,363,4,90.75,1.0,49.6726,204.0,9.36,2483.63,5,8,0.0,5.0,266,False
12921,0,2011-11-30 16:22:00,37,364,8,10.11111111111111,3.3636363636363638,23.037625,178.20000000000002,6.8,16587.09,11,2,2.0,35.0,47,False
12928,14,2011-11-04 14:24:00,5,323,34,80.75,1.0,24.555952380952384,126.0,10.08,2062.7000000000003,5,8,0.0,5.0,117,False
12931,16,2011-11-18 12:39:00,15,336,21,24.0,1.875,512.8775609756098,4176.0,6.36,42055.96,8,5,0.0,15.0,76,False
12944,19,2011-11-04 11:04:00,2,319,35,319.0,1.0,20.150333333333332,39.8,10.2,604.51,2,11,0.0,2.0,319,False
12955,106,2011-12-08 16:29:00,11,266,0,26.6,1.375,26.428666666666665,157.92000000000002,2.88,4757.16,8,5,0.0,11.0,51,False
12963,8,2011-12-01 12:55:00,8,357,7,51.0,1.6,19.54347368421053,53.1,9.36,1856.63,5,8,0.0,8.0,280,False
12971,1,2011-12-06 12:20:00,86,368,3,4.329411764705882,6.615384615384615,36.68822950819672,220.15,5.04,11189.91,13,0,6.0,80.0,16,False
12989,9,2011-12-06 15:28:00,15,361,2,25.785714285714285,1.3636363636363635,108.18921875000001,810.0,0.39,6924.110000000001,11,2,1.0,14.0,69,False
13001,47,2011-12-05 14:51:00,13,322,3,26.833333333333332,1.4444444444444444,29.038486646884277,415.00000000000006,0.85,9785.970000000001,9,4,1.0,12.0,135,False
13004,15,2011-11-28 11:27:00,18,346,11,20.352941176470587,1.6363636363636365,13.999777227722772,39.75,2.88,5655.91,11,2,1.0,17.0,36,False
13013,2,2011-12-08 15:01:00,13,370,0,30.833333333333332,1.4444444444444444,21.967762557077627,102.0,5.04,4810.9400000000005,9,4,0.0,13.0,122,False
13014,92,2011-11-29 12:27:00,10,270,10,30.0,1.6666666666666667,31.666181818181816,175.2,9.95,3483.2799999999997,6,7,0.0,10.0,55,False
13018,78,2011-11-23 13:28:00,28,279,15,10.333333333333334,2.8,15.890174672489083,83.4,4.5600000000000005,7277.7,10,3,7.0,21.0,33,False
13021,15,2011-12-05 16:37:00,9,354,3,44.25,1.2857142857142858,19.97236641221374,75.60000000000001,6.64,2616.38,7,6,2.0,7.0,96,False
13029,20,2011-11-09 09:13:00,3,322,30,161.0,1.0,124.75,449.09999999999997,10.2,1247.5,3,10,1.0,2.0,214,False
13030,5,2011-11-28 14:30:00,2,356,10,356.0,1.0,8.178695652173912,47.400000000000006,1.25,752.4399999999999,2,11,0.0,2.0,356,False
13034,4,2011-10-16 12:21:00,2,314,54,314.0,1.0,17.372162162162162,30.0,5.04,642.77,2,11,2.0,0.0,314,False
13047,0,2011-10-14 11:15:00,9,317,56,39.625,1.2857142857142858,18.9040350877193,68.0,6.64,3232.59,7,6,1.0,8.0,70,False
13050,7,2011-11-25 09:18:00,17,351,14,21.9375,1.7,14.510223880597014,79.6,0.83,5833.11,10,3,1.0,16.0,57,False
13069,4,2011-12-09 08:39:00,24,368,0,16.0,1.8461538461538463,10.451509433962263,244.8,0.38,4431.44,13,0,5.0,19.0,47,False
13077,7,2011-12-08 19:24:00,4,365,0,121.66666666666667,1.3333333333333333,6.558738738738739,81.36,0.21,728.02,3,10,0.0,4.0,289,False
13078,7,2011-12-06 15:36:00,26,363,2,14.52,2.0,35.27357541899441,237.60000000000002,2.2800000000000002,12627.94,13,0,2.0,24.0,27,False
13081,2,2011-11-28 10:54:00,11,359,11,35.9,1.5714285714285714,27.75834630350195,207.50000000000003,4.0,28535.58,7,6,0.0,11.0,107,False
13089,4,2011-12-07 09:02:00,97,366,2,3.8125,7.461538461538462,32.393649393605294,788.4,4.5600000000000005,58762.08,13,0,7.0,90.0,20,False
13090,0,2011-12-01 12:39:00,13,364,8,30.333333333333332,1.3,57.765064935064935,612.0,4.68,8895.82,10,3,1.0,12.0,71,False
13092,14,2011-09-30 11:18:00,5,288,70,72.0,1.0,19.1132,39.8,4.0,477.83,5,8,0.0,5.0,141,False
13094,5,2011-11-18 14:07:00,12,347,20,31.545454545454547,1.2,80.305,152.64000000000001,53.1,1927.3200000000002,10,3,1.0,11.0,74,False
13097,13,2011-11-07 10:43:00,10,327,32,36.333333333333336,1.1111111111111112,14.259429928741094,75.60000000000001,0.85,6003.22,9,4,3.0,7.0,59,False
13098,56,2011-12-08 14:14:00,28,316,0,11.703703703703704,2.3333333333333335,50.49377622377622,499.20000000000005,2.5,28882.44,12,1,2.0,26.0,33,False
13102,8,2011-12-08 12:52:00,24,363,0,15.782608695652174,2.0,21.131875,257.76,2.88,6424.09,12,1,3.0,21.0,52,False
13104,19,2011-12-06 13:10:00,6,351,2,70.2,1.0,54.924,162.72,10.08,1098.48,6,7,0.0,6.0,134,False
13113,7,2011-12-09 12:49:00,24,365,0,15.869565217391305,2.1818181818181817,60.966218905472644,1700.0,0.85,12254.210000000001,11,2,3.0,21.0,52,False
13117,1,2011-11-18 12:02:00,8,350,21,50.0,1.1428571428571428,12.959342105263158,35.95,1.92,984.91,7,6,0.0,8.0,100,False
13124,14,2011-09-11 12:45:00,3,269,89,134.5,1.0,16.920405405405404,114.75,0.78,3756.33,3,10,1.0,2.0,162,False
13126,7,2011-12-05 10:00:00,8,361,4,51.57142857142857,1.3333333333333333,14.997428571428571,47.7,2.34,2099.64,6,7,0.0,8.0,180,False
13138,1,2011-11-17 16:51:00,6,350,21,70.0,1.0,15.276031746031746,30.0,9.0,962.39,6,7,0.0,6.0,131,False
13145,1,2011-10-31 12:45:00,4,332,39,110.66666666666667,1.0,103.08666666666666,295.0,15.0,618.52,4,9,0.0,4.0,245,False
13148,9,2011-11-10 15:23:00,12,335,28,30.454545454545453,2.0,11.805320512820513,62.5,0.39,3683.26,6,7,5.0,7.0,104,False
13155,5,2011-11-06 15:41:00,4,335,32,111.66666666666667,1.0,11.432470588235294,46.8,0.42,971.76,4,9,1.0,3.0,246,False
13165,22,2011-10-24 15:05:00,2,305,45,305.0,1.0,24.32095238095238,102.0,2.88,1021.48,2,11,0.0,2.0,305,False
13173,6,2011-12-05 15:51:00,2,363,3,363.0,1.0,8.224418604651163,30.0,0.42,353.65,2,11,0.0,2.0,363,False
13174,4,2011-11-23 14:35:00,3,352,15,176.0,1.0,9.379520547945207,49.95,0.42,2738.82,3,10,1.0,2.0,299,False
13178,13,2011-11-13 16:14:00,11,334,25,33.4,1.375,21.60554716981132,85.92,8.5,5725.47,8,5,1.0,10.0,65,False
13184,83,2011-11-25 12:02:00,10,275,14,30.555555555555557,1.6666666666666667,9.370505617977528,60.0,0.6,1667.95,6,7,0.0,10.0,116,False
13198,12,2011-11-29 15:17:00,6,351,9,70.2,1.0,15.049734513274338,42.0,2.52,3401.2400000000002,6,7,0.0,6.0,110,False
13199,7,2011-12-06 12:30:00,37,363,3,10.083333333333334,2.8461538461538463,83.06881355932204,408.0,5.76,9802.12,13,0,1.0,36.0,35,False
13209,12,2011-11-09 13:54:00,8,331,29,47.285714285714285,1.3333333333333333,18.35392523364486,85.92,1.25,5891.61,6,7,0.0,8.0,98,False
13211,12,2011-11-29 14:43:00,3,350,9,175.0,1.0,19.916727272727275,204.0,1.25,1095.42,3,10,0.0,3.0,266,False
13225,12,2011-12-06 13:29:00,7,358,2,59.666666666666664,1.0,201.995,568.8000000000001,56.160000000000004,6463.84,7,6,0.0,7.0,82,False
13230,8,2011-12-05 16:03:00,14,360,3,27.692307692307693,1.5555555555555556,4.69442930153322,85.0,0.29,2755.63,9,4,5.0,9.0,109,False
13238,13,2011-11-22 15:37:00,4,343,16,114.33333333333333,1.3333333333333333,22.604193548387098,104.0,12.48,700.73,3,10,0.0,4.0,196,False
13240,8,2011-09-04 14:08:00,4,269,95,89.66666666666667,1.0,9.82878787878788,30.599999999999998,1.65,648.7,4,9,3.0,1.0,108,True
13255,0,2011-11-30 13:14:00,2,364,8,364.0,1.0,30.73153846153846,90.0,14.95,399.51,2,11,0.0,2.0,364,False
13263,48,2011-12-08 13:59:00,34,323,0,9.787878787878787,3.090909090909091,4.4595126353790615,122.39999999999999,0.19,7411.71,11,2,1.0,33.0,46,False
13266,117,2011-11-28 14:39:00,12,245,10,22.272727272727273,1.3333333333333333,20.504064171122995,117.0,4.5600000000000005,3834.2599999999998,9,4,1.0,11.0,45,False
13267,7,2011-12-07 11:12:00,19,364,2,20.22222222222222,1.9,21.428862559241704,76.5,8.2,4521.49,10,3,1.0,18.0,56,False
13268,106,2011-11-22 11:34:00,10,249,17,27.666666666666668,1.6666666666666667,7.297939814814815,60.0,0.38,3152.71,6,7,0.0,10.0,84,False
13269,4,2011-12-08 14:53:00,15,368,0,26.285714285714285,1.5,16.96279365079365,177.60000000000002,0.84,5343.28,10,3,2.0,13.0,110,False
13305,1,2011-12-05 15:15:00,10,368,3,40.888888888888886,1.1111111111111112,24.701975308641973,63.6,9.36,2000.86,9,4,1.0,9.0,99,False
13317,15,2011-10-04 13:35:00,6,292,65,58.4,1.5,18.336129032258064,40.8,9.36,2273.68,4,9,0.0,6.0,132,False
13319,8,2011-12-04 13:34:00,26,360,4,14.4,2.0,22.784768907563027,153.0,8.5,10845.550000000001,13,0,1.0,25.0,41,False
13324,13,2011-11-03 16:28:00,10,324,35,36.0,1.6666666666666667,94.95933333333333,350.4,12.600000000000001,7121.95,6,7,2.0,8.0,113,False
13327,8,2011-11-01 10:21:00,8,326,38,46.57142857142857,1.1428571428571428,33.59046296296296,99.60000000000001,6.6000000000000005,3627.77,7,6,0.0,8.0,73,False
13329,7,2011-11-08 10:29:00,2,335,31,335.0,1.0,46.411764705882355,131.39999999999998,10.5,789.0,2,11,0.0,2.0,335,False
13408,0,2011-12-08 09:05:00,62,371,1,6.081967213114754,4.769230769230769,58.82225941422595,306.0,0.39,28117.04,13,0,9.0,53.0,22,False
13418,1,2011-11-28 10:23:00,18,360,11,21.176470588235293,2.0,20.156019736842108,250.0,2.4899999999999998,6127.43,9,4,1.0,17.0,107,False
13426,14,2011-12-09 08:59:00,10,358,0,39.77777777777778,1.1111111111111112,23.193121019108283,149.4,5.04,3641.32,9,4,2.0,8.0,93,False
13448,0,2011-11-23 12:33:00,6,357,16,71.4,1.5,18.22005154639175,60.0,0.85,3534.69,4,9,0.0,6.0,145,False
13455,7,2011-11-15 11:21:00,2,341,24,341.0,1.0,23.007391304347824,63.75,7.800000000000001,1058.34,2,11,0.0,2.0,341,False
13458,14,2011-12-02 15:29:00,14,352,6,27.076923076923077,1.2727272727272727,25.252801047120418,122.39999999999999,4.5600000000000005,9646.57,11,2,0.0,14.0,46,False
13468,0,2011-12-08 10:39:00,37,371,1,10.305555555555555,2.8461538461538463,18.89062913907285,163.2,3.1,5704.97,13,0,3.0,34.0,25,False
13487,20,2011-10-13 12:07:00,3,295,57,147.5,1.0,16.923529411764704,35.400000000000006,10.2,575.4,3,10,0.0,3.0,155,False
13488,6,2011-11-22 14:41:00,13,350,16,29.166666666666668,1.3,21.25191943127962,238.79999999999998,5.04,8968.31,10,3,0.0,13.0,54,False
13491,1,2011-10-19 08:32:00,10,320,51,35.55555555555556,1.4285714285714286,14.137441860465115,30.599999999999998,2.2800000000000002,1215.82,7,6,0.0,10.0,99,False
13495,5,2011-12-02 11:21:00,5,360,7,90.0,1.25,42.60145833333333,135.0,10.08,2044.8700000000001,4,9,0.0,5.0,196,False
13496,14,2011-11-29 10:58:00,2,349,10,349.0,1.0,18.66657142857143,70.80000000000001,5.04,653.33,2,11,0.0,2.0,349,False
13520,2,2011-10-12 10:20:00,6,312,58,62.4,1.0,34.30287356321839,139.2,5.04,2984.35,6,7,0.0,6.0,78,False
13523,7,2011-11-06 15:11:00,5,333,32,83.25,1.25,23.051627906976744,165.0,6.64,3964.88,4,9,1.0,4.0,166,False
13534,15,2011-12-07 14:52:00,25,355,1,14.791666666666666,2.0833333333333335,19.83135135135135,41.6,1.95,5870.08,12,1,0.0,25.0,54,False
13552,58,2011-10-04 15:19:00,12,249,65,22.636363636363637,1.7142857142857142,34.31256880733945,119.52000000000001,6.64,3740.07,7,6,0.0,12.0,59,False
13569,6,2011-11-22 13:07:00,2,350,16,350.0,1.0,4.322051282051282,16.95,0.42,337.12,2,11,0.0,2.0,350,False
13571,120,2011-11-27 10:47:00,12,240,12,21.818181818181817,1.3333333333333333,6.143941176470588,20.8,0.42,2088.94,9,4,3.0,9.0,42,False
13576,0,2011-11-29 15:34:00,18,362,9,21.294117647058822,1.5,53.312222222222225,244.08,1.25,6717.34,12,1,3.0,15.0,35,False
13579,4,2011-11-25 08:41:00,2,354,14,354.0,1.0,20.30608695652174,47.7,8.95,467.04,2,11,1.0,1.0,354,False
13599,7,2011-12-08 16:10:00,21,365,0,18.25,2.3333333333333335,20.934634146341462,165.0,1.45,5149.92,9,4,0.0,21.0,71,False
13611,14,2011-09-11 14:51:00,3,270,88,135.0,1.0,16.033333333333335,60.839999999999996,0.85,1154.4,3,10,1.0,2.0,189,False
13627,16,2011-10-11 14:20:00,5,298,58,74.5,1.0,17.80945652173913,203.52,1.92,1638.47,5,8,0.0,5.0,152,False
13629,35,2011-11-16 13:21:00,11,315,22,31.5,1.2222222222222223,132.07389830508475,358.0,6.959999999999999,7792.36,9,4,1.0,10.0,71,False
13631,106,2011-09-01 09:57:00,11,167,99,16.7,2.2,279.1290909090909,850.0,40.0,3070.42,5,8,1.0,10.0,60,True
13652,5,2011-10-25 08:51:00,3,322,45,161.0,1.0,17.38222222222222,27.04,9.899999999999999,1095.08,3,10,0.0,3.0,210,False
13668,11,2011-12-07 12:11:00,21,359,2,17.95,1.75,13.628142548596113,203.52,0.85,6309.83,12,1,6.0,15.0,56,False
13694,0,2011-12-06 09:32:00,50,369,3,7.530612244897959,3.8461538461538463,114.50637323943663,622.5,2.32,65039.62,13,0,1.0,49.0,26,False
13695,114,2011-11-08 14:26:00,15,228,30,16.285714285714285,1.6666666666666667,27.823666666666668,158.39999999999998,9.959999999999999,2504.13,9,4,1.0,14.0,32,False
13700,46,2011-11-13 13:00:00,10,300,25,33.333333333333336,1.4285714285714286,11.590876288659794,99.60000000000001,0.29,2248.63,7,6,4.0,6.0,84,False
13705,0,2011-12-02 12:32:00,3,366,7,183.0,1.0,25.423571428571428,165.0,7.800000000000001,711.86,3,10,0.0,3.0,228,False
13709,58,2011-12-06 10:28:00,13,311,3,25.916666666666668,2.1666666666666665,18.828805970149254,177.60000000000002,5.04,6307.650000000001,6,7,0.0,13.0,146,False
13742,53,2011-11-23 11:07:00,12,303,16,27.545454545454547,1.7142857142857142,9.92929712460064,51.0,0.42,3107.87,7,6,4.0,8.0,72,False
13748,0,2011-09-05 09:45:00,5,278,95,69.5,1.6666666666666667,33.86607142857143,204.0,9.36,948.25,3,10,0.0,5.0,136,True
13756,6,2011-12-07 16:44:00,14,365,1,28.076923076923077,1.5555555555555556,36.54591549295775,355.20000000000005,4.68,5189.52,9,4,0.0,14.0,152,False
13758,0,2011-11-28 11:11:00,7,361,11,60.166666666666664,1.4,27.26965811965812,102.0,0.42,3190.55,5,8,2.0,5.0,162,False
13767,0,2011-12-07 15:00:00,37,371,1,10.305555555555555,3.0833333333333335,46.79445652173913,532.8000000000001,10.08,17220.36,12,1,3.0,34.0,37,False
13769,6,2011-12-07 15:08:00,10,365,1,40.55555555555556,1.1111111111111112,20.71488888888889,157.92000000000002,1.9500000000000002,2796.51,9,4,0.0,10.0,85,False
13777,0,2011-12-09 12:25:00,33,372,0,11.625,2.5384615384615383,131.86375634517768,1383.1200000000001,1.44,25977.16,13,0,1.0,32.0,48,False
13784,41,2011-11-30 09:33:00,11,322,9,32.2,1.2222222222222223,79.44483870967741,199.68,17.700000000000003,2462.79,9,4,0.0,11.0,63,False
13787,9,2011-09-25 12:06:00,2,288,75,288.0,1.0,9.969032258064518,24.96,1.65,309.04,2,11,1.0,1.0,288,False
13798,1,2011-12-08 15:51:00,57,370,0,6.607142857142857,4.384615384615385,106.4580229226361,424.5,0.39,37153.85,13,0,5.0,52.0,25,False
13817,22,2011-11-10 17:49:00,2,322,28,322.0,1.0,14.953636363636365,20.8,9.959999999999999,328.98,2,11,0.0,2.0,322,False
13831,4,2011-11-23 15:41:00,6,353,15,70.6,1.2,30.534027777777776,326.4,1.25,2198.45,5,8,2.0,4.0,150,False
13838,4,2011-12-04 11:00:00,4,364,5,121.33333333333333,1.3333333333333333,4.089818181818182,19.9,0.42,674.82,3,10,4.0,0.0,252,False
13842,7,2011-10-12 10:51:00,9,308,58,38.5,1.0,16.43504854368932,50.849999999999994,4.35,3385.62,9,4,0.0,9.0,83,False
13846,13,2011-11-15 12:07:00,3,335,24,167.5,1.0,15.728363636363637,30.599999999999998,7.800000000000001,865.0600000000001,3,10,0.0,3.0,217,False
13848,7,2011-09-08 12:58:00,3,273,91,136.5,1.0,251.0,480.0,50.0,1255.0,3,10,0.0,3.0,205,True
13854,8,2011-12-01 09:06:00,25,356,8,14.833333333333334,2.0833333333333335,73.72290909090908,350.4,6.8,8109.5199999999995,12,1,1.0,24.0,38,False
13871,65,2011-11-17 10:49:00,13,286,22,23.833333333333332,1.3,19.057291666666668,67.2,5.04,6403.25,10,3,0.0,13.0,44,False
13880,6,2011-11-18 13:44:00,13,345,20,28.75,1.3,19.513757575757577,59.400000000000006,5.04,3219.77,10,3,2.0,11.0,70,False
13881,62,2011-12-06 12:50:00,20,308,3,16.210526315789473,1.8181818181818181,96.40179775280899,612.0,8.5,17159.52,11,2,0.0,20.0,43,False
13890,15,2011-12-08 15:36:00,10,357,0,39.666666666666664,2.0,17.125545454545456,39.599999999999994,3.1,1883.8100000000002,5,8,0.0,10.0,251,False
13941,1,2011-11-18 09:43:00,5,350,21,87.5,1.0,113.62133333333334,356.40000000000003,15.0,5112.96,5,8,1.0,4.0,125,False
13953,21,2011-12-02 16:04:00,7,345,6,57.5,1.0,175.784,750.0,7.800000000000001,3515.68,7,6,0.0,7.0,77,False
