CustomerID,TransactionAfterStartDate(Days),TotalTransactions,CustomerLife(Days),DaysSinceLastTransaction,AvgDaysBetweenTransactions,AvgTransactionsPerMonth,AvgTransactionValue,MaxTransactionValue,MinTransactionValue,Revenue,ActiveMonths,InactiveMonths,NoOfWeekendTransactions,NoOfWeekdayTransactions,MaxGapBetweentransactions,Churner,Scored Labels,Scored Probabilities
14498,12,5,319,42,79.75,1,10.14155440414508,170,0.42,1957.32,5,8,0,5,175,False,False,0.2945494280809628
12428,90,8,257,25,36.714285714285715,1.6,22.31797909407665,135,2.34,6405.26,5,8,1,7,94,False,False,0.14815278207099827
14132,190,11,181,1,18.1,1.5714285714285714,17.930149999999994,74,4.32,3586.03,7,6,0,11,26,False,False,0.0777017528238836
15596,8,5,264,100,66,1,18.2674025974026,39.8,5.95,1406.59,5,8,0,5,114,True,True,0.6975951842410407
18180,231,6,137,4,27.4,1.5,15.493697478991598,38.25,4.68,1843.75,4,9,0,6,54,False,False,0.10927033915568239
17049,98,9,273,2,34.125,1.125,17.839211356466876,250,3.4799999999999995,5655.03,8,5,1,8,61,False,False,0.07655051114857245
17381,1,29,363,8,12.964285714285715,2.230769230769231,186.01477064220185,1326,12.6,20275.61,13,0,2,27,42,False,False,0.02680428643411641
14194,65,21,303,4,15.15,2.1,19.601934369602766,129,2.88,11349.52,10,3,1,20,56,False,False,0.029059017157662764
17677,5,30,367,1,12.655172413793107,2.3076923076923075,53.945148514851475,249.00000000000003,2.88,16345.38,13,0,1,29,48,False,False,0.011532963142374147
14004,85,7,245,42,40.833333333333336,1.4,26.799064327485386,82.5,8.7,4582.64,5,8,1,6,115,False,False,0.2326161465041094
14944,77,12,266,29,24.181818181818183,2,34.707352941176474,118.8,7.800000000000002,5900.25,6,7,0,12,78,False,False,0.13954708535764793
14621,15,5,357,0,89.25,1,19.438695652173923,59.40000000000001,8.2,1788.36,5,8,1,4,171,False,False,0.10301725151365544
13576,0,18,362,9,21.294117647058822,1.5,53.312222222222225,244.08,1.25,6717.34,12,1,3,15,35,False,False,0.06632728129838007
16681,120,6,180,72,36,1.2,40.235,117,10.08,1770.34,5,8,0,6,66,True,False,0.49796342487223255
15366,15,2,282,74,282,1,13.69340909090909,30,5.04,602.51,2,11,1,1,282,True,False,0.44167732592701026
15117,158,5,200,14,50,1.25,19.642784810126578,192,1.65,1551.78,4,9,1,4,94,False,False,0.17779058021855046
17754,113,5,259,0,64.75,1,18.703932584269666,179,0.85,1664.65,5,8,0,5,118,False,False,0.10949176292782982
12901,103,28,261,8,9.666666666666666,2.8,152.19431034482758,1519.8,0.85,17654.54,10,3,2,26,27,False,False,0.05150504092249858
17364,42,11,330,0,33,1.5714285714285714,10.991822660098524,69.36,0.21,4462.68,7,6,0,11,108,False,False,0.0670793253966881
17198,2,3,347,23,173.5,1.5,7.210625,51,0.21,692.22,2,11,0,3,341,False,False,0.1550566012526351
13069,4,24,368,0,16,1.8461538461538465,10.451509433962263,244.8,0.38,4431.44,13,0,5,19,47,False,False,0.050892521408071115
14251,316,5,55,1,13.75,1.6666666666666667,36.91923076923077,102,10.08,2879.7000000000007,3,10,0,5,40,False,False,0.10569369853497451
16945,15,19,336,21,18.666666666666668,1.9,17.451807228915662,62.40000000000001,2.9,4345.5,10,3,2,17,53,False,False,0.09199529906317558
16293,6,10,345,21,38.333333333333336,1.6666666666666667,19.05923728813559,50.40000000000001,5.04,2248.99,6,7,0,10,115,False,False,0.15529499919584067
17426,91,6,274,7,54.8,1.5,18.58767527675277,239.7,5.04,5037.26,4,9,0,6,106,False,False,0.11164280290820316
16626,107,17,265,0,16.5625,2.125,24.654189944134078,158.4,1.65,4413.1,8,5,2,15,81,False,False,0.05778547333478625
14553,34,5,319,18,79.75,1.6666666666666667,7.604159292035397,165,0.42,859.27,3,10,3,2,185,False,False,0.21000937077946194
13267,7,19,364,2,20.222222222222218,1.9,21.428862559241704,76.5,8.2,4521.49,10,3,1,18,56,False,False,0.058118638014355996
17873,0,5,293,79,73.25,1,40.942380952380965,106.2,1.95,1719.5800000000004,5,8,0,5,104,True,True,0.5634424028279869
17723,159,6,87,126,17.4,1.5,327.6400000000001,830.0000000000001,29.5,3276.4000000000005,4,9,0,6,28,True,True,0.888057501666905
18226,36,11,293,43,29.3,1.2222222222222223,21.603512396694217,101.76,1.45,5228.05,9,4,2,9,82,False,False,0.18142554154833768
17802,1,3,290,81,145,1,9.178857142857142,70.8,0.55,1285.04,3,10,2,1,192,True,True,0.5629996998895709
12451,49,5,313,10,78.25,1.25,25.483059490084987,244.8,2.88,8995.52,4,9,0,5,152,False,False,0.09065450288631596
17888,16,8,335,20,47.85714285714285,1.1428571428571428,11.015384615384617,72,0.95,716,7,6,0,8,105,False,False,0.17183055414296264
16029,0,62,335,38,5.491803278688525,5.166666666666667,302.950375,2256,30.6,72708.09,12,1,0,62,23,False,False,0.0002930164872701481
15260,1,7,272,99,45.33333333333334,1.1666666666666667,23.51649350649351,62.5,9.9,1810.77,6,7,0,7,138,True,True,0.6538204132233519
12838,0,2,340,33,340,1,5.5995833333333325,35.40000000000001,0.42,671.95,2,11,1,1,340,False,False,0.17635834244230789
12753,11,6,339,22,67.8,1,108.77862944162436,429.6,15.3,21429.39,6,7,1,5,113,False,False,0.04509409132442305
17905,0,4,302,70,100.66666666666669,1.3333333333333333,24.21181818181818,181.25,1.25,798.99,3,10,0,4,195,True,True,0.5200175449022831
12407,109,5,214,49,53.5,1.25,20.932222222222226,87.04,2.88,1507.12,4,9,1,4,84,False,False,0.3806398051945976
17220,9,14,339,23,26.07692307692308,1.5555555555555556,6.8255888650963605,33.9,0.55,3187.55,9,4,0,14,58,False,False,0.1248095737301643
16180,121,8,152,99,21.714285714285715,1.6,63.297407407407405,179,7.800000000000002,10254.18,5,8,1,7,39,True,True,0.5040507215375252
15012,0,2,319,53,319,1,3.3200000000000003,12.75,0.39,405.04,2,11,0,2,319,False,False,0.27948679257756726
15211,8,2,304,59,304,1,17.200192307692312,38.25,10.2,894.4100000000002,2,11,0,2,304,False,False,0.31386831516367486
16170,125,6,197,50,39.4,1.2,15.0804,46.8,2.88,1885.05,5,8,0,6,61,False,False,0.33610579866894497
17706,7,17,362,3,22.625,2.4285714285714284,27.49866492146597,150,0.95,10504.49,7,6,1,16,102,False,False,0.0393849085653893
17621,19,3,333,20,166.5,1,53.073076923076925,122.4,10.08,1379.9,3,10,0,3,291,False,False,0.14440542561608974
15502,4,10,353,15,39.22222222222222,2,33.129090909090905,705.5,5.25,6923.98,5,8,6,4,151,False,False,0.16576615610426243
14546,125,5,243,4,60.75,1,6.4834508816120895,35.40000000000001,0.55,2573.93,5,8,3,2,124,False,False,0.1079448378644783
17191,5,7,340,27,56.66666666666666,1.4,8.871525423728812,60,0.85,2093.68,5,8,0,7,97,False,False,0.21084972229690613
18102,6,60,366,0,6.203389830508474,5,602.45313225058,3828,3.26,259657.3,12,1,0,60,60,False,False,4.010711534251447E-12
12540,12,17,342,19,21.375,1.5454545454545454,25.11982646420824,175.2,5.04,11580.24,11,2,1,16,51,False,False,0.053032269665292585
15152,186,13,177,9,14.75,2.1666666666666665,17.511771217712177,44.85,3.3600000000000003,4745.69,6,7,2,11,42,False,False,0.08268749790971827
13652,5,3,322,45,161,1,17.38222222222222,27.04,9.9,1095.08,3,10,0,3,210,False,False,0.3030728624880676
15722,83,5,254,35,63.5,1.25,33.003134328358215,231,1.45,2211.21,4,9,1,4,102,False,False,0.2884490371789145
15796,71,8,301,0,43,1.1428571428571428,20.6687786259542,91.8,0.84,2707.61,7,6,2,6,86,False,False,0.09305689425878741
15005,7,28,350,15,12.962962962962965,2.333333333333333,5.664869486948695,30.24,0.39,6293.67,12,1,3,25,29,False,False,0.04797067967859982
14524,13,9,329,31,41.125,1.5,9.359543147208123,102,0.5700000000000001,1843.83,6,7,2,7,106,False,False,0.23135536142523733
13468,0,37,371,1,10.305555555555557,2.8461538461538463,18.890629139072853,163.2,3.1,5704.97,13,0,3,34,25,False,False,0.028442111177817715
13094,5,12,347,20,31.54545454545455,1.2,80.305,152.64,53.1,1927.32,10,3,1,11,74,False,False,0.13395832485204537
16076,165,10,205,2,22.777777777777782,1.4285714285714286,17.323488372093024,59.40000000000001,1.1,2234.73,7,6,1,9,73,False,False,0.08467017061706485
16466,81,7,258,33,43,1.1666666666666667,10.931232876712327,86.10000000000002,1.1,1595.96,6,7,7,0,83,False,False,0.25516584347088633
17930,134,5,203,35,50.75,1,44.62769230769231,201.6,7.439999999999999,1740.48,5,8,0,5,90,False,False,0.25775009526585146
12427,2,3,349,21,174.5,1,24.99285714285714,68,12.48,699.8,3,10,0,3,311,False,False,0.15948983887155924
14159,11,11,343,19,34.3,1.5714285714285714,3.94206132879046,51,0.12,4627.98,7,6,4,7,106,False,False,0.12517917842077972
17227,5,6,349,18,69.8,1,19.985531914893613,201.6,0.39,939.32,6,7,0,6,111,False,False,0.19598612582858746
17512,72,10,272,28,30.222222222222218,1.4285714285714286,27.857047619047623,138.24,7.800000000000002,2924.99,7,6,0,10,70,False,False,0.1729103040065536
14739,6,7,363,3,60.5,1,65.038,180,8.4,3902.28,7,6,1,6,125,False,False,0.0975568719576626
17917,11,3,317,44,158.5,1,3.641630434782608,16.95,0.8,335.03,3,10,1,2,210,False,False,0.2995548730369711
16633,139,6,216,16,43.2,1,18.967763157894737,60,5.04,2883.1,6,7,1,5,66,False,False,0.13798698002978452
12600,2,10,342,28,38,1.1111111111111112,42.797037037037036,237.6,6.72,2311.04,9,4,2,8,58,False,False,0.21636036644114895
12931,16,15,336,21,24,1.875,512.8775609756099,4176,6.36,42055.96,8,5,0,15,76,False,False,0.12229131728824859
12474,44,18,312,16,18.352941176470583,2,16.487906403940887,70.2,2.28,6694.09,9,4,1,17,50,False,False,0.07488214360334082
17235,1,2,347,24,347,1,18.967586206896552,69.36,0.78,550.06,2,11,0,2,347,False,False,0.1313062408091098
16560,15,2,331,26,331,1,15.179122807017546,39.6,5.04,865.21,2,11,1,1,331,False,False,0.1382342229825123
17526,8,4,360,4,120,1.3333333333333333,62.94210526315789,262.79999999999995,10.5,1195.9,3,10,0,4,286,False,False,0.11709447023555482
14901,1,9,361,10,45.125,2.25,14.805104166666665,75,0.65,1421.29,4,9,0,9,238,False,False,0.12131077001580162
16928,0,17,292,79,18.25,1.8888888888888888,13.826354679802954,75,0.84,2806.75,9,4,1,16,50,True,False,0.41989800177379627
17685,1,7,355,16,59.16666666666666,1.1666666666666667,24.849055118110236,174,1.26,3155.83,6,7,0,7,178,False,False,0.13137596762866957
12494,8,7,349,15,58.16666666666666,1.1666666666666667,15.269014084507045,39.8,4.68,1084.1,6,7,1,6,121,False,False,0.16791682787593223
14096,272,17,97,3,6.0625,3.4,10.453077526987244,264.32,0.42,53258.43,5,8,0,17,9,False,False,0.0006732628812378787
18135,183,5,161,28,40.25,1.6666666666666667,34.0955,171.84,1.45,681.9100000000002,3,10,0,5,110,False,False,0.2414616426527944
17950,8,3,293,71,146.5,1.5,6.791549295774647,37.5,0.21,482.2,2,11,0,3,292,True,False,0.4509462581213102
14156,2,55,361,9,6.685185185185184,4.583333333333333,84.02156272401434,2365.2,1.25,117210.08,12,1,3,52,42,False,False,2.542480236219755E-06
16558,7,20,365,0,19.210526315789476,1.5384615384615383,18.127152173913046,252,1.58,8338.49,13,0,1,19,40,False,False,0.03537379431712113
13629,35,11,315,22,31.5,1.2222222222222223,132.07389830508475,358,6.959999999999999,7792.36,9,4,1,10,71,False,False,0.11551911809100274
16161,5,19,367,1,20.38888888888889,1.7272727272727273,11.748768577494692,49.5,0.84,5533.67,11,2,0,19,52,False,False,0.04509133909944977
17572,0,4,302,70,100.66666666666669,1.3333333333333333,18.895833333333336,26.1,13.05,226.75000000000003,3,10,0,4,138,True,True,0.5247627090016868
12523,42,11,312,18,31.2,1.2222222222222223,16.664411764705882,39.6,9.95,1699.77,9,4,2,9,117,False,False,0.12817344813398795
15570,4,12,362,6,32.90909090909091,1.5,13.005705329153605,45,0.42,4148.82,8,5,2,10,105,False,False,0.08165344184545403
14191,153,13,218,1,18.166666666666668,1.625,18.08787644787645,79,3.3600000000000003,4684.76,8,5,0,13,29,False,False,0.06509681101642366
13777,0,33,372,0,11.625,2.5384615384615383,131.86375634517768,1383.12,1.44,25977.16,13,0,1,32,48,False,False,0.012273999034745018
17757,1,30,370,0,12.758620689655173,2.3076923076923075,7.563518267929635,252,0.42,5589.440000000001,13,0,3,27,26,False,False,0.03515613567914383
15581,7,10,209,155,23.222222222222218,2,5.016993006993007,50.40000000000001,0.39,717.4300000000002,5,8,2,8,78,True,True,0.9234458118538671
13523,7,5,333,32,83.25,1.25,23.051627906976748,165,6.64,3964.88,4,9,1,4,166,False,False,0.22292072094538082
14987,8,2,349,15,349,1,81.6,81.6,81.6,326.4,2,11,0,2,349,False,False,0.09243798816711389
12935,54,7,317,1,52.83333333333334,1.1666666666666667,16.749612403100773,40.8,7.800000000000002,2160.7,6,7,1,6,115,False,False,0.10265467131345704
13971,88,8,266,18,38,1.1428571428571428,18.511812080536913,49.8,5.1,2758.26,7,6,1,7,69,False,False,0.14438091151987123
15938,50,5,211,111,52.75,1,22.47666666666667,60,9.9,404.58,5,8,2,3,88,True,True,0.7855405555916233
17097,8,8,363,1,51.85714285714285,1.6,4.523317535545024,39.8,0.21,954.42,5,8,1,7,209,False,False,0.09720886533999562
13317,15,6,292,65,58.4,1.5,18.336129032258068,40.8,9.36,2273.68,4,9,0,6,132,False,False,0.44666797465010993
17813,302,5,57,13,14.25,1.6666666666666667,4.879511494252873,39.8,0.29,1698.07,3,10,0,5,24,False,False,0.15081983784652866
13313,34,5,317,21,79.25,1.25,19.94,59.4,5.04,1555.32,4,9,1,4,124,False,False,0.20546903607486958
13991,230,6,131,11,26.2,1.5,10.517037037037037,39.6,0.19,851.88,4,9,3,3,68,False,False,0.15724895146758167
16814,4,21,355,13,17.75,1.75,20.147169811320754,135,0.55,6406.8,12,1,1,20,38,False,False,0.05662696726734123
16145,14,11,351,8,35.1,1.1,16.96200892857143,70.2,2.88,3799.49,10,3,1,10,63,False,False,0.08567207008612503
12348,15,4,282,74,94,1,53.231111111111105,150,13.2,1437.24,4,9,1,3,173,True,True,0.544891195038988
17449,14,7,357,1,59.5,1.1666666666666667,9.149854545454543,30,0.29,2516.21,6,7,0,7,139,False,False,0.09036065132026513
17470,6,5,323,44,80.75,1,14.423974358974359,47.7,2.88,1125.07,5,8,0,5,119,False,False,0.3137159229786271
16638,5,10,346,22,38.444444444444436,1.4285714285714286,17.88,119.9,3.51,1680.72,7,6,1,9,144,False,False,0.15938100677805078
12455,77,5,223,72,55.75,1,27.527764705882355,158.4,6.8,2339.86,5,8,0,5,107,True,True,0.5124277059540103
15939,42,14,241,89,18.53846153846154,1.5555555555555556,81.33346666666667,306,10.08,6100.01,9,4,3,11,46,True,False,0.4812753813966524
16474,228,7,137,6,22.83333333333333,1.4,5.3883630952380965,50.40000000000001,0.19,1810.49,5,8,3,4,56,False,False,0.11710144590267844
16915,90,6,274,8,54.8,1,10.906666666666668,149.85000000000005,0.39,621.6800000000002,6,7,0,6,83,False,False,0.148362096367478
17323,81,7,277,14,46.16666666666666,1.1666666666666667,4.655257731958763,20.8,0.55,903.12,6,7,6,1,77,False,False,0.16424200887932072
13309,65,5,301,6,75.25,1,13.614859813084113,40.5,2.52,1456.79,5,8,0,5,118,False,False,0.13140153539861438
14646,19,73,353,1,4.902777777777779,5.615384615384616,135.645242248062,4992,0.39,279971.78,13,0,1,72,30,False,False,1.1652634714385208E-12
16919,5,11,212,155,21.2,2.2,7.951687116564418,67.5,0.42,2592.25,5,8,0,11,111,True,True,0.8957533731475901
13709,58,13,311,3,25.91666666666667,2.1666666666666665,18.828805970149254,177.60000000000005,5.04,6307.6500000000015,6,7,0,13,146,False,False,0.06466355389657691
17769,53,10,308,12,34.22222222222222,1.6666666666666667,13.017861842105262,85.92,0.55,3957.43,6,7,7,3,104,False,False,0.11626652014573557
17412,1,7,369,2,61.5,1.1666666666666667,19.061515151515152,54,6.84,1258.06,6,7,0,7,136,False,False,0.1065315102570121
17402,4,12,364,4,33.09090909090909,1.3333333333333333,44.80775862068965,271.2,0.42,2598.85,9,4,3,9,96,False,False,0.10122552892026299
17613,68,14,282,22,21.69230769230769,1.5555555555555556,14.851470588235294,124.8,0.85,4544.55,9,4,3,11,52,False,False,0.11342035308462149
16156,63,9,302,8,37.75,1.125,24.1565625,118.8,4.68,3092.04,8,5,0,9,66,False,False,0.10396635312033782
15903,78,7,285,9,47.5,1.75,69.28054054054054,237.6,5.04,5126.76,4,9,1,6,150,False,False,0.11026230113588391
17451,268,7,104,0,17.333333333333332,1.4,17.214000000000002,45,2.5,1721.4,5,8,0,7,40,False,False,0.09254778735549388
14215,5,6,356,11,71.2,1.2,16.57148148148148,35.40000000000001,4.5600000000000005,1789.72,5,8,0,6,128,False,False,0.14555800118801307
15379,15,7,189,168,31.5,1.4,19.089123711340207,70.80000000000003,4.5600000000000005,3703.29,5,8,1,6,66,True,True,0.9352060715839035
16705,15,20,358,0,18.84210526315789,2.2222222222222223,51.981444444444435,244.8,9.3,14034.99,9,4,1,19,70,False,False,0.023830826286235694
13750,37,5,283,53,70.75,1,68.63583333333334,325.44,12.75,1647.26,5,8,0,5,125,False,False,0.4217968851388988
15658,1,5,182,189,45.5,1,21.33541666666667,76.5,7.5,1024.1,5,8,0,5,64,True,True,0.9729501774706393
13078,7,26,363,2,14.52,2,35.273575418994405,237.6,2.28,12627.94,13,0,2,24,27,False,False,0.022554528154128114
14030,7,8,348,17,49.714285714285715,1.3333333333333333,9.747272727272726,290,0.84,2358.84,6,7,2,6,122,False,False,0.1875552891170781
16817,5,9,365,2,45.625,1.2857142857142858,18.65988372093023,79.9,4.2,1604.75,7,6,0,9,153,False,False,0.0931659210641825
17722,7,4,270,95,90,1,21.07860869565217,306,4.5600000000000005,2424.04,4,9,1,3,135,True,True,0.6975543071788071
13458,14,14,352,6,27.07692307692308,1.2727272727272727,25.252801047120414,122.4,4.5600000000000005,9646.57,11,2,0,14,46,False,False,0.04572353518623362
15601,1,14,361,10,27.76923076923077,1.4,16.52819512195122,71.4,4.5600000000000005,6776.56,10,3,1,13,48,False,False,0.06700960064295682
17576,8,19,357,7,19.83333333333333,1.4615384615384617,8.86773631840796,51,0.29,3564.83,13,0,0,19,37,False,False,0.05634295663273565
13410,82,5,267,23,66.75,1,35.82357142857143,70.2,5.04,1003.06,5,8,1,4,112,False,False,0.2099144332292756
15845,36,8,319,17,45.57142857142857,1.1428571428571428,26.89688405797101,81.12,6.6000000000000005,3711.77,7,6,0,8,76,False,False,0.13221304473107362
14708,5,3,365,2,182.5,1,40.2275,162.72,5.04,1126.37,3,10,0,3,214,False,False,0.12085133548394451
13394,64,8,308,1,44,1,16.258193548387098,75.60000000000002,1.9,2520.02,8,5,0,8,63,False,False,0.096170812740763
15197,15,3,347,10,173.5,1,33.737812500000004,419.4,4.68,1079.61,3,10,0,3,241,False,False,0.17012876778250507
18179,37,6,327,8,65.4,1.2,19.924111111111113,210,8.2,1793.17,5,8,0,6,199,False,False,0.12086877576648512
14419,9,6,354,10,70.8,1.2,5.206881188118811,30,0.42,1051.79,5,8,0,6,178,False,False,0.1365465380456123
13767,0,37,371,1,10.305555555555557,3.083333333333333,46.79445652173913,532.8000000000002,10.08,17220.36,12,1,3,34,37,False,False,0.013230677597775983
16255,8,8,348,16,49.714285714285715,1.1428571428571428,9.703370370370369,40.32,0.19,2619.91,7,6,2,6,100,False,False,0.13994950655959687
16016,7,8,363,2,51.85714285714285,1.3333333333333333,6.542455357142857,33.9,0.29,1465.51,6,7,0,8,140,False,False,0.10349774910746042
16609,121,7,237,14,39.5,1.4,19.903840579710145,62.40000000000001,4.5600000000000005,5493.46,5,8,0,7,72,False,False,0.1078234149472307
14711,111,11,252,9,25.2,1.5714285714285714,8.230782608695652,195,0.39,2839.62,7,6,1,10,66,False,False,0.11645472643453471
12731,9,12,341,23,31,1.2,68.68831501831502,475.2000000000001,5.04,18751.91,10,3,0,12,59,False,False,0.04701380413938981
14243,8,10,357,8,39.66666666666666,1.1111111111111112,18.360070921985816,70.8,4.5600000000000005,2588.77,9,4,0,10,69,False,False,0.10553026653312247
12662,0,11,372,0,37.2,1.1,16.10809090909091,41.6,6.8,3543.78,10,3,1,10,64,False,False,0.07485353109570786
14258,36,9,328,8,41,1.125,114.14396396396394,504,13.2,12669.98,8,5,2,7,80,False,False,0.06369229857118912
16701,12,13,352,8,29.33333333333333,1.3,37.48819444444445,163.2,0.48,5398.3,10,3,2,11,75,False,False,0.07507897819829877
16929,218,7,151,3,25.16666666666667,1.4,16.82324675324675,39.6,6.72,1295.39,5,8,0,7,55,False,False,0.10620278624020825
13882,309,5,61,2,15.25,1.6666666666666667,18.325076923076924,59.85,3.4799999999999995,1191.13,3,10,0,5,20,False,False,0.12997105668133568
18230,71,7,293,8,48.83333333333334,1.1666666666666667,32.67674418604651,162.72,6.6000000000000005,2810.2000000000007,6,7,1,6,79,False,False,0.12266368325930999
16515,62,5,259,51,64.75,1,14.631891891891891,142.8,0.65,1624.14,5,8,0,5,96,False,False,0.3716048341134659
16191,13,13,357,2,29.75,1.8571428571428568,38.660597014925386,326.4,5.04,5180.52,7,6,0,13,210,False,False,0.06608040565072822
13208,64,5,249,58,62.25,1,8.172397260273973,47.2,0.39,1193.17,5,8,0,5,96,False,False,0.4256456921853987
12502,64,5,214,95,53.5,1,21.097676056338027,175.2,4.2,2995.87,5,8,0,5,90,True,True,0.6721204793998509
15382,78,6,280,14,56,1.2,19.720894039735104,71.4,4.98,5955.71,5,8,0,6,99,False,False,0.10809111264092477
17999,7,2,329,36,329,1,4.1801098901098905,19.8,0.38,380.39,2,11,0,2,329,False,False,0.1777092837306582
17019,5,4,357,10,119,1,5.517894736842106,42,0.29,1258.08,4,9,0,4,250,False,False,0.11935168385813338
17213,7,7,326,39,54.33333333333334,1.75,17.71484076433121,39.95,6.6000000000000005,2781.23,4,9,2,5,172,False,False,0.2400325422652668
15681,93,5,255,24,63.75,1.6666666666666667,26.908679245283018,68,7.800000000000002,1426.16,3,10,0,5,155,False,False,0.1987980530751142
17211,4,8,342,26,48.85714285714285,1.3333333333333333,10.982085308056872,50,1.25,2317.2200000000007,6,7,6,2,132,False,False,0.19063716921434498
14257,55,5,254,63,63.5,1,29.24264150943397,249.6,5.04,3099.7200000000007,5,8,1,4,133,False,False,0.4379058649206019
15953,4,8,354,14,50.57142857142857,1.3333333333333333,17.085360824742267,81.6,0.42,1657.28,6,7,2,6,146,False,False,0.1460651650747527
14530,77,6,270,25,54,1,13.437136150234744,107.1,0.84,2862.11,6,7,0,6,77,False,False,0.19102104205571066
16367,11,2,325,36,325,1,6.304488188976379,20.8,0.29,800.67,2,11,1,1,325,False,False,0.1806416046172749
15281,40,9,274,58,34.25,1.5,16.778057553956835,39.6,4.5600000000000005,2332.15,6,7,2,7,77,False,False,0.3705566471495286
13030,5,2,356,10,356,1,8.178695652173912,47.40000000000001,1.25,752.4399999999998,2,11,0,2,356,False,False,0.09294636983011587
15048,5,4,303,64,101,1,4.053191489361701,30,0.39,381,4,9,0,4,147,False,False,0.47757003146831956
12989,9,15,361,2,25.785714285714285,1.3636363636363635,108.18921875,810,0.39,6924.1100000000015,11,2,1,14,69,False,False,0.09211209185890329
16923,11,19,350,11,19.444444444444443,1.9,11.292460063897765,150,0.12,7069.08,10,3,15,4,53,False,False,0.07394747378466413
12808,5,3,331,36,165.5,1,16.875925925925927,20.8,9.95,455.65,3,10,0,3,184,False,False,0.2765231215509115
15101,14,2,350,8,350,1,39.69125,104.4,12.6,317.53,2,11,0,2,350,False,False,0.0907333919146116
14541,54,8,260,58,37.142857142857146,1.3333333333333333,13.84142857142857,90,0.21,1453.35,6,7,0,8,109,False,False,0.38568241930711616
17841,0,124,371,1,3.0162601626016263,9.538461538461537,5.281856006260597,349.5,0.29,40495.99,13,0,20,104,15,False,False,7.115053214675751E-05
16746,15,18,354,4,20.823529411764707,1.6363636363636365,15.045292792792793,126,1.25,6680.11,11,2,4,14,39,False,False,0.05178075987442049
16203,1,4,313,58,104.33333333333331,1,16.939999999999998,25.5,10.2,592.9,4,9,0,4,144,False,False,0.41910405416760843
13268,106,10,249,17,27.66666666666667,1.6666666666666667,7.297939814814815,60,0.38,3152.71,6,7,0,10,84,False,False,0.13259046605871366
16086,6,5,307,58,76.75,1,28.753589743589746,99.6,2.9,1121.39,5,8,0,5,101,False,False,0.43602836172056286
16401,46,12,326,0,29.63636363636364,1.2,22.03397849462365,148.5,0.65,4098.32,10,3,3,9,48,False,False,0.0720038051437131
14506,4,5,351,16,87.75,1,6.646271186440679,45,0.29,1960.65,5,8,1,4,121,False,False,0.17021812409767506
17690,0,15,342,29,24.42857142857143,1.6666666666666667,18.757142857142856,250,1.25,4726.8,9,4,3,12,84,False,False,0.14587507541424938
17809,0,12,357,15,32.45454545454545,1.5,88.71983606557377,425,0.95,5411.91,8,5,0,12,69,False,False,0.1262018494814464
13880,6,13,345,20,28.75,1.3,19.513757575757577,59.40000000000001,5.04,3219.77,10,3,2,11,70,False,False,0.12137059537368303
13719,139,5,219,14,54.75,1.25,17.361333333333334,52.2,5.04,1041.68,4,9,1,4,148,False,False,0.15575907955427443
14852,121,6,193,57,38.6,1.2,19.836993006993012,40.8,7.800000000000002,2836.69,5,8,1,5,74,False,False,0.36145271482651165
17001,15,11,358,0,35.8,1,23.606923076923078,58.5,7.56,3989.57,11,2,1,10,59,False,False,0.062019156106724524
17644,113,11,259,0,25.9,1.375,18.44356687898089,74,1.65,2895.64,8,5,0,11,57,False,False,0.07364901053993633
